Row_ID;Sex;How satisfied are you with the amount of space allocated to you and your family in the camp?;How satisfied are you with the level of hygiene and sanitation in the camp?;Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?;How satisfied are you with the quality of healthcare you and your family are receiving in the camp?;How satisfied are you with the level of psychological support you and your family are receiving in the camp?;How satisfied are you with the level of social support you and your family receive from neighbours and friends?;Do you think you are able to exercise your religion freely in the camp?;How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?;Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?;Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?;Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?;How satisfied are you with the quality of education you and your family are receiving in the camp?;How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?;How satisfied are you with the income your family makes in the camp?;How satisfied are you with the overall help you and your family have been receiving from NGOs?;How do you mostly hear about the news?;Who do you consider the most important person in your camp?;Other than family, who do you go to when you have a problem?;Do you have enough good friends in the camp?;Do you consider any Bangladeshis as your friends?;Do you believe Rohingya and Bangladeshis can be good friends?;Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?;Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?;How much do you trust the police/military/guards of camps in Bangladesh?;How much do you trust the NGOs in the camp?;How much do you trust the Majhis?;How much do you trust the Imam (religious leader)?;How often do you talk with Rohingya people outside Bangladesh and Myanmar?;In what countries are they now?;How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?;In what countries are they now?;Do you often feel stressed or overwhelmed by your situation?;Do you prefer talking about your problems with others or trying to forget what you are going through?;Do you prefer solving your problems alone or by asking others for their help?;Does talking about your every day problems with others make you feel better?;How comfortable do you feel talking about your problems with NGO workers?;Do you think the situation in the camp is better now or 6 months ago?;Do you smoke cigarettes?;How many cigarettes a day on average?;Did you also smoke before coming to Bangladesh?;Do you chew betel nuts?;How many betel nuts a day on average?;Did you also chew before coming to Bangladesh?;Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?;Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?;Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?;Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?;Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?;How often do you hear people talking about violent groups in the camp?;How do you think violence in the camp has changed over time?;Do you think that sexual harassment in the camp happens often?;Where does sexual harassment happen the most?;How afraid are you to leave your child unattended in the camp after it gets dark?;Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?;Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?;To what extent do you feel at home in the camp in Bangladesh now?;Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?;Are you willing to go?;Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?;If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?;Do you think that repatriation to Myanmar will happen in the next two years?;Do you personally know any Rohingya who left Bangladesh in the last six months?;Where did they go?;Have you thought about leaving to go to another country other than Myanmar and Bangladesh?;How scared are you to leave for another country?;Where do you think you will be in six months from now?;If you could choose any country in the world, other than Myanmar, where would you go?;Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?;How do you feel about the future?
12916;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Very unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Satisfied;Very unsatisfied;Very unsatisfied;Satisfied;Family;Block Mahji;Head Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;No;Comfortable enough;now;No;;;No;;;No;;No;;No;A few times a month;Decreased;Yes;In the streets;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;No;No;;No;scared;Here, in the camp ;I don't want to go anywhere else.;USA;positive
12917;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;now;No;;;No;;;No;;No;;No;Never;Decreased;Yes;In the market;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Australia, Canada;Australia, Canada;negative
12918;Male;Satisfied;Satisfied;Yes;Unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;CIC;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;5;Yes;No;;;No;;No;;No;A few times a year;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;USA;Saudi Arabia, USA;negative
12919;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12920;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Satisfied;Satisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp;Australia, Canada;Australia, Canada;negative
12921;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;5;Yes;Yes;3;Yes;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12922;Male;Unsatisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;No;Very comfortable;same-nothing has changed;No;;;Yes;3;Yes;No;;No;;No;A few times a year;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12923;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Saudi Arabia;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Australia;Australia;negative
12924;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;No;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;I don't have children - does not apply;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Australia, Canada;Australia, Canada;negative
12925;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;Yes;5;Yes;No;;;No;;No;;No;A few times a year;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Malaysia;Malaysia, Saudi Arabia;negative
12926;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;CIC;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;USA;Saudi Arabia, Turkey, USA;negative
12927;Male;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;A few times a year;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;scared;Here, in the camp ;Canada;Canada, Saudi Arabia;negative
12928;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I solve my problems myself;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12929;Male;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Australia, USA;Australia, USA;negative
12930;Male;Satisfied;Satisfied;Yes;Unsatisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Australia, Canada;Australia, Canada;negative
12931;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Very satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12932;Male;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Very satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;Yes;5;Yes;Yes;3;Yes;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Australia, Canada;Australia, Canada;negative
12933;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Very satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;5;Yes;No;;;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12934;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;Yes;5;Yes;No;;;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Turkey;Malaysia, Saudi Arabia;negative
12935;Male;Satisfied;Satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Very satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;Yes;6;Yes;Yes;3;Yes;No;;No;;No;Never;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;USA;Saudi Arabia, USA;negative
12936;Male;Satisfied;Satisfied;Yes;Satisfied;Satisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;No;No;Yes;No;;A lot of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;No;;No;;No;A few times a year;Same;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia;Saudi Arabia;negative
12937;Male;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Unsatisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;I don't have children - does not apply;Yes;No;Not at all;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp ;Australia, USA;Australia, USA;negative
12938;Male;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Satisfied;Very unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;Yes;7;Yes;Yes;3;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Australia, Canada;Australia, Canada;negative
12939;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Malaysia, Saudi Arabia;Saudi Arabia;negative
12940;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;No;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12942;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;Saudi Arabia, Turkey;Saudi Arabia;negative
12945;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Very unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Three times a month;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12946;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;A lot of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;10;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12947;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Neither comfortable nor uncomfortable;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12948;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Once a year;N/A;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;Malaysia, Saudi Arabia;Saudi Arabia;negative
12949;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Very little;Yes;No;Yes;Yes;Yes;No;;No;scared;Here, in the camp;Malaysia, Saudi Arabia;Saudi Arabia;negative
12950;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Three times a month;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12952;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12953;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;CIC;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Australia, Canada, USA;Canada, USA;negative
12954;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Unsatisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;A lot of trust;Quite a bit of trust;A lot of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp;Saudi Arabia;Saudi Arabia;negative
12956;Female;Unsatisfied;Very satisfied;Yes;Satisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Satisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;Yes;15;Yes;Yes;5;Yes;No;;No;;No;Never;Decreased;No;;Afraid;Yes;No;Somewhat;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp ;I don't want to go anywhere else.;I don't know about the majority;negative
12958;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Family;Head Mahji;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;10;Yes;No;;No;;No;A few times a year;Decreased;No;;Afraid;Yes;No;Somewhat;Yes;No;No;Yes;No;No;;No;very scared;Here, in the camp ;I don't want to go anywhere else.;I don't know about the majority;neither positive nor negative
12959;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;12;Yes;No;;No;;No;A few times a year;Decreased;No;;Afraid;Yes;No;Somewhat;Yes;No;No;Yes;No;No;;No;scared;Here, in the camp ;I don't want to go anywhere else.;No reply/No comment;negative
12960;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Very unsatisfied;Satisfied;Friends and neighbours;Head Mahji;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;Once a year;Malaysia;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;No;;No;;No;Never;Decreased;No;;Very afraid;Yes;No;Somewhat;Yes;No;No;Yes;No;No;;Yes;not scared;Here, in the camp ;USA;USA;positive
